t;xgoal;ygoal;x_waypoint;y_waypoint;yaw_waypoint;x_t;y_t;yaw_t;x_p;y_p;yaw_p;
1719.930;6.50;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
1720.030;6.50;1.50;-0.02;-0.00;0.00;0.00;0.00;0.00;-0.00;0.00;-0.00;
1720.130;6.50;1.50;-0.02;-0.00;0.00;0.01;0.00;0.00;0.02;0.00;-0.00;
1720.230;6.50;1.50;-0.02;-0.00;0.00;0.03;0.00;0.00;0.07;0.00;-0.00;
1720.330;6.50;1.50;-0.02;-0.00;0.00;0.07;-0.00;0.03;0.12;0.00;0.00;
1720.433;6.50;1.50;-0.02;-0.00;0.00;0.12;-0.00;0.11;0.19;0.01;0.08;
1720.531;6.50;1.50;-0.02;-0.00;0.00;0.16;-0.01;0.16;0.22;0.01;0.13;
1720.631;6.50;1.50;-0.02;-0.00;0.00;0.21;-0.00;0.22;0.30;0.02;0.22;
1720.730;6.50;1.50;-0.02;-0.00;0.00;0.27;0.00;0.30;0.33;0.03;0.27;
1720.830;6.50;1.50;-0.02;-0.00;0.00;0.32;0.01;0.35;0.37;0.04;0.32;
1720.930;6.50;1.50;-0.02;-0.00;0.00;0.37;0.03;0.39;0.42;0.06;0.36;
1721.032;6.50;1.50;-0.02;-0.00;0.00;0.41;0.04;0.42;0.49;0.09;0.42;
1721.131;6.50;1.50;-0.02;-0.00;0.00;0.47;0.06;0.46;0.51;0.10;0.43;
1721.230;6.50;1.50;-0.02;-0.00;0.00;0.52;0.08;0.49;0.55;0.12;0.47;
1721.330;6.50;1.50;-0.02;-0.00;0.00;0.55;0.09;0.52;0.60;0.14;0.50;
1721.433;6.50;1.50;-0.02;-0.00;0.00;0.61;0.12;0.55;0.64;0.16;0.53;
1721.537;6.50;1.50;-0.02;-0.00;0.00;0.65;0.15;0.57;0.70;0.20;0.56;
1721.630;6.50;1.50;-0.02;-0.00;0.00;0.69;0.17;0.58;0.73;0.22;0.57;
1721.731;6.50;1.50;-0.02;-0.00;0.00;0.74;0.20;0.60;0.76;0.24;0.58;
1721.830;6.50;1.50;-0.02;-0.00;0.00;0.78;0.23;0.61;0.83;0.29;0.61;
1721.930;6.50;1.50;-0.02;-0.00;0.00;0.80;0.24;0.62;0.85;0.30;0.61;
1722.030;6.50;1.50;0.86;0.30;0.00;0.86;0.28;0.63;0.89;0.33;0.62;
1722.130;6.50;1.50;0.86;0.30;0.00;0.90;0.31;0.63;0.93;0.36;0.62;
